station_name,station_code
内灘,002045
内牧,009639
内田,008962
内船,005155
内部,006250
内郷,001672
内野,001321
内野西が丘,001324
円山公園,000250
円座,008279
円田,006537
円町,005919
円行寺口,009102
再春医療センター前,009669
冠着,002212
冷水浦,008452
出光美術館,008635
出屋敷,006987
出島,009834
出平,001832
出戸,007582
出戸浜,000762
出来島,007037
出水,009929
出町柳,005876
出目,009459
出雲三成,005364
出雲八代,005285
出雲坂根,005694
出雲大東,005040
出雲大社前,004855
出雲崎,001449
出雲市,004943
出雲横田,005425
出雲神西,005041
出雲科学館パークタウン前,004936
出馬,005836
函南,005668
函館,000455
函館どつく前,000457
函館アリーナ前,000449
函館駅前,000458
分倍河原,003853
分水,001414
切目,008820
切石,004481
切通,004825
刈和野,000842
刈羽,001495
刈谷,006052
刈谷市,006082
刑部,005750
初台,003764
初富,003178
初島,008472
初狩,004255
初石,002949
初芝,007747
初野,000020
別保,000311
別府,009428
別府,006929
別府,009080
別府大学,009395
別当賀,000152
別所温泉,002346
別院前,008012
利別,000325
利府,001121
刺巻,000804
前之浜,010100
前原,003603
前山,000683
前川,001504
前平公園,004681
前後,005826
前栽,007602
前橋,002297
前橋大島,002318
前沢,000958
前浜,009342
前田南,000721
